Ahwatukee,840
McMurray,1086
Phoenix,576709
Tempe,162772
Cuyahoga Falls,5003
Stuttgart,25537
Las Vegas,1604173
Wexford,3442
Henderson,166884
Houston,80
Chandler,122343
Markham,38840
Homestead,2996
Charlotte,237115
Toronto,430923
Peoria,42581
Sun Prairie,3273
Goodyear,21508
Richmond Hill,18329
Mesa,130883
Mississauga,43147
Elyria,1487
Fort Mill,8340
Montreal,5665
Munroe Falls,203
Pineville,5484
Scottsdale,308529
Lakewood,14687
Davidson,2594
Cave Creek,9959
Frazer,767
Madison,86614
Montréal,122620
Urbana,7642
Pittsburgh,179471
Surprise,25740
Cornelius,6892
Edinburgh,48838
Chesterland,902
Glendale,76293
Mentor,5169
Cleveland,92280
Solon,3251
Concord,13658
Coraopolis,2566
Cleveland Heights,6935
Oakdale,315
Gilbert,97204
Dorval,1183
Newmarket,3200
North Olmsted,5282
Willoughby,3243
Champaign,26260
Kent,4189
Gastonia,5406
Fitchburg,3622
Matthews,11630
Mirabel,33
Rocky River,5506
North York,16265
Boulder City,8413
Vaughan,11947
North Las Vegas,37928
Tega Cay,638
Scarborough,15325
Westlake,6854
Anthem,1289
Laval,2765
MESA,3229
Mint Hill,1086
Dunfermline,173
Etna,129
Bethel Park,1996
Laveen,2325
Fountain Hills,5480
Willoughby Hills,540
Bay Village,495
Verdun,1536
Mentor-on-the-Lake,191
Ajax,2488
Fellbach,730
Mount Holly,517
Oakville,7307
Avondale,16622
Huntersville,11742
Savoy,878
Sun City,2658
East York,1565
Lasalle,476
Filderstadt,454
Brunswick,1580
Palmerston,3
Chester,717
Robinson Township,444
Leonberg,305
Sainte-Julie,60
San Tan Valley,996
Canonsburg,1847
Pickering,2864
West Mifflin,1363
Hudson,3116
Litchfield Park,5301
Rantoul,336
Kannapolis,1333
El Mirage,1298
Scottdale,544
Fairlawn,2160
Île des Soeurs,42
Thornhill,6858
Saint-Hubert,100
Boucherville,149
Macedonia,1235
Berea,1835
Paradise Valley,4166
Monroeville,5209
Mahomet,366
Euclid,793
Avon,3004
Chagrin Falls,2650
Harrisburg,1385
Mayfield Heights,1980
Etobicoke,10021
Fairview Park,1708
North Royalton,1321
Medina,3585
Dollard-Des-Ormeaux,603
Brook Park,541
Brampton,9445
Bainbridge,122
Sheffield Village,266
Strongsville,5387
Lyndhurst,2382
Whitby,2777
Caledon,227
North Versailles,353
Main Street,6
Sainte-Thérèse-de-Blainville,7
North Huntington,21
Highland Heights,795
Wilmerding,68
Carefree,1751
Belmont,2335
Ludwigsburg,2182
Stow,2688
Stoughton,1037
Painesville,1128
Eastlake,651
Saint-Sauveur,316
Stanley,119
Whitchurch-Stouffville,620
Inglewood,9
Oregon,689
Murrysville,1226
Parma,4368
Böblingen,1298
Middleton,6841
Caledon Village,4
Tolleson,2443
Aurora,3644
Saint-Jérôme,32
York,999
Turtle Creek,172
Sainte-Anne-De-Bellevue,81
Peninsula,595
Indian Trail,2973
Middleburg Heights,1439
Sheffield Lake,66
Brossard,1361
Outremont,629
Pointe-Claire,873
Twinsburg,1760
Bedford,899
North Huntingdon,615
Esslingen,1009
Amherst,993
Steinenbronn,33
Maple,529
Westmount,912
Waiblingen,348
Suncity,3
Dollard-des-Ormeaux,503
Beachwood,4403
Cottage Grove,317
Sun City West,903
Olmsted Falls,791
Verona,2192
Sloan,293
Waxhaw,1960
Monticello,262
Mansfield,7
La Prairie,103
Gibsonia,1085
Northfield,1058
Parma Heights,724
Copley,342
Broadview Heights,1411
Woodbridge,2318
las vegas,877
Independence,3351
Ditzingen,127
Longueuil,349
Brecksville,1082
De Forest,251
Lorain,775
Inverness,1280
Hinckley,126
Brookpark,148
Dravosburg,70
Monongahela,152
Streetsboro,1530
McFarland,312
Pleasant Hills,480
Georgetown,322
Woodmere,2556
Waunakee,797
Burton,315
Elizabeth,222
Leinfelden-Echterdingen,710
Oakmont,814
Lasswade,44
Aspinwall,215
Finleyville,112
Carnegie,1850
Lambton,5
Bridgeville,2551
Saint-Jerome,66
Plum,147
Monona,1994
Valley City,187
DeForest,364
Swissvale,68
Shaker Heights,683
Sainte-Thérèse,19
Allison Park,922
Youngtown,671
North Ridgeville,879
Cross Plains,308
Maple Heights,187
Stockbridge,78
Hampton Township,155
South Euclid,1033
Millvale,177
Sewickley,1335
Warrensville Heights,686
Stallings,434
Broadview Hts,31
Indian Land,808
Bradford,197
Paradise,462
Castle Shannon,80
Avalon,82
Caledon East,37
Irwin,1138
Holland Landing,17
Ostfildern,281
Bedford Heights,193
Windsor,216
Harrison City,92
Brooklyn,1243
Laveen Village,198
King City,173
Schomberg,37
Lake Wylie,701
Stowe,85
Esslingen am Neckar,183
Sharpsburg,168
Joliette,19
Moon Township,761
Rawdon,13
Saint-Jean-Sur-Richelieu,25
St-Benoît de Mirabel,57
Glenrothes,34
Avon Lake,1562
Chateau,3
Schwieberdingen,48
Livingston,169
Willowick,575
Dudley,12
Glenshaw,508
Grafton,146
Saint-Leonard,218
Garfield Heights,322
Mc Farland,253
Chardon,656
Sidney,22
Tuscola,273
Saint-Laurent,1162
Richmond Heights,324
Vanier,31
Ambridge,391
Vaudreuil-Dorion,261
Morin-Heights,26
SLOAN,5
Newbury,167
Saint-Lazare,37
Valley View,936
Sagamore Hills,47
Leith,86
White Oak,289
Higley,468
Etobiicoke,11
Kingussie,11
Saint-Lambert,130
Shaler,4
Jefferson Hills,61
Mount Horeb,674
New Kensington,671
Warrensville,10
Middleburg Hts,39
N. Las Vegas,361
Boisbriand,77
Lauder,6
Richfield,536
Mt Albert,8
Lachine,316
Pierrefonds,316
Cowdenbeath,6
Möglingen,25
Saint-Jean-sur-Richelieu,102
Sainte-Therese,26
Ballantyne,17
Downtown,88
Newhaven,70
Marvin,6
Ross Township,214
Sindelfingen,1203
Saint Joseph,89
Cheswick,125
Bradford West Gwillimbury,134
Saint-Constant,27
Heidelberg,116
Weddington,89
Litchfield,46
Midland,119
Mantua,83
Ogden,28
Greenfield Park,102
Kirkland,256
University Heights,907
Mt. Lebanon,314
Bath,76
Tremont,275
McMurry,11
Mount Lebanon,500
Presto,76
Blackness,11
Penn Hills,159
Lakewood Oh,5
Longniddry,3
Gerlingen,160
Moon,163
Champlain,57
Montréal-Nord,19
Saint-Hyacinthe,36
Mont-Royal,194
Blue Diamond,452
Loanhead,42
N Las Vegas,345
Huntingdon,4
Churubusco,9
Mc Kees Rocks,351
Lowell,202
Tallmadge,651
"Indian Land,",3
Bellevue,576
Seven Hills,581
West View,192
Kirkcaldy,76
South Las Vegas,543
South Park,96
South Park Township,102
Mentor On the Lake,59
Columbia Station,51
Kennedy Township,24
toronto,62
Midlothian,65
McKees Rocks,646
columbia station,91
Streetsville,19
Char,8
Downsview,31
WICKLIFFE,244
Musselburgh,137
CITY CENTER,29
Ashburn,10
Belleville,176
Trafford,137
Rosemère,50
Mentor On the,34
Bolton,229
Leven,12
Nellis Afb,92
Creighton,16
Norval,6
Wickliffe,400
Maricopa County,4
Schönaich,74
Nellis Air Force Base,13
Mercier,11
Waddell,223
Clairton,142
Clark,237
Whtiby,10
Springdale,233
Brettin,5
Mayfield Village,248
Mayfield,272
Nellis AFB,89
Wilkinsburg,65
Munhall,276
Moss,40
Monroeville - Pit.,10
frazer,20
Bratenahl,45
Goodyear AZ,3
Chateauguay,68
Peters Township,58
Moreland Hills,248
Delson,41
Anjou,104
Mc Murray,89
Unionville,1434
Olmsted Township,51
Montréal-Ouest,6
Napierville,7
East Gwillimbury,189
South Queensferry,107
Rosemere,60
The Promenade,5
Montreal-Nord,40
Beaconsfield,66
Chambly,63
Stouffville,476
Central City,9
Paoli,56
Lawrence,12
Penicuik,60
Las vegas,293
The Woodlands,3
Kornwestheim,180
Middlefield,282
Mascouche,25
Dallas,180
Las  Vegas,355
Wesley Chapel,389
Lagrange,44
Summerlin,780
Olivos,202
Buena Vista,10
McKeesport,361
Repentigny,17
Robinson,202
Rankin,16
Concord Mills,267
Fairport Harbor,129
McCandless Township,117
Dormont,79
Fairview,318
Guadalupe,411
Pheonix AZ,11
Dalkeith,66
City of Edinburgh,24
Pheonix,123
Casablanca,24
Oakwood Village,27
East Liberty,44
Hiram,25
Black Earth,84
Superstition Mountain,3
Saint-Eustache,68
Peoria Ave Citizen's Group,4
"Toronto, Ontario",16
Totronto,3
Bruntsfield,5
Mississauaga,4
Tolono,8
Cote Saint-Luc,18
Russell Twp,10
Baie-d'Urfé,6
Korntal-Münchingen,56
Oakridges,3
Beeton,24
La Salle,37
Sun Lakes,264
East Cleveland,34
Crescent,6
Arnold,72
Mount Laurel,8
CHARLOTTE,3
Blainville,34
Freyburg,53
Tottenham,14
Fort McDowell,341
Missisauga,420
Glassport,27
Bainbridge Township,16
Upper St. Clair,34
LaSalle,25
Gullane,25
Queensferry,53
Leetsdale,184
Argos,25
Berg,7
Thornhil,17
Squirrel Hill,52
Orange,44
Rouses Point,56
Mayfield Heights.,5
Willowdale,34
W Henderson,75
West Homestead,733
Imperial,153
Denkendorf,32
Goodwood,24
L'ile-Perrot,28
Ft. Mill,79
Quartermile,15
Gifford,11
Roosevelt,80
Richmond Hil,70
St-Lazare,3
Brentwood,127
Franklin Park,14
Crafton,135
Chester Township,60
Cramerton,354
Enterprise,282
Lower Burrell,120
Sainte-Adèle,22
Leaside,4
Hochdorf,16
Juniper Green,16
Saint Laurent,41
Philo,27
Highland Hills,6
Kirtland,267
Pointe-Aux-Trembles,14
Rigaud,33
McDonald,18
Sainte-Adele,36
Oakwood,29
St-Jean-sur-Richelieu,3
Reminderville,6
L'ile-Bizard,11
Venetia,47
Balerno,6
Mt. Washington,3
Newington,10
Saint-Bruno-de-Montarville,14
Shaler Township,42
Emsworth,84
Saint - Hyacinthe,5
Neuhausen,63
King,34
Oak Ridges,8
Saint-Charles-Borromee,4
North Olmstead,44
Sainte-Anne-de-Bellevue,82
Richmond Height,4
Mont-Saint-Gregoire,26
Phoeniix,5
Westview,5
Mentor On The Lake,3
Pepper Pike,344
Beloeil,40
East Gwilimbury,5
Ansnorveldt,9
Banksville,4
Mount Mourne,3
Brookline,81
Godmanchester,3
Braddock,242
Oakland,82
Alburg,5
Nottingham,150
Remseck am Neckar,22
"North Olmsted,",6
Brooklyn Heights,15
Whitney,6
Sainte-Genevieve,17
River Drive Park,12
Allegheny,6
Scarbrough,5
Scotland,85
Old Port of Montreal,3
Noyan,9
AGINCOURT,6
Bedford HTS,20
Elk Grove Villa,51
Freiberg,7
West Lothian,4
Monoroeville,20
Glbert,4
Kleinburg,94
La Baie,10
Plieningen,7
Vieux Montreal,68
Portobello,25
Nobleton,61
Estrella Village,5
Vaughn City,3
Bradfordwoods,8
Brooklin,55
Onda,3
Murrysville (Monroeville),7
St Davids,59
Saint-Marc-sur-Richelieu,6
Clarkson,15
Montéal,8
Cleveland Hghts.,24
Lowesville,31
Las Vegas East,31
Alex,3
Shady Side,6
Old Brooklyn,4
L'Île-Perrot,156
Mayfield Heights (Cleveland),21
Etobicoke On,3
New Town,53
Saint-Paul,3
Currie,4
Walton Hills,68
Moon Twp,29
Port Credit,105
Mc Donald,21
Homer,22
Ahwahtukee,15
Mt Lebanon,103
Orange Village,463
Upper St Clair,109
Cote-Saint-Luc,16
Saint-Isidore-De-Laprairie,4
Ormstown,9
Newbridge,39
Hemmingen,105
San Rafael,214
Le Sud-Ouest,17
Robinson Twp.,96
McKnight,25
Haddington,24
Terrebonne,58
Spring Valley,1191
"Phoenix,",17
Kernen im Remstal,19
Kernen,51
Old Town,49
Central City Village,40
Otterburn Park,3
clinton,54
Neville Island,32
Saint-Charles-Borromée,3
Huntsburg,8
St Joseph,33
Indian land,14
Ratho,24
North Randall,179
Old Town Scottsdale,3
Russell,5
Candiac,6
W Spring Valley,53
Mont-Saint-Hilaire,37
Plum Boro,4
Salaberry-De-Valleyfield,23
Mathews,4
Warrensville Hts.,34
Rexdale,165
Tranent,7
Duquesne,32
Vimont,42
Bentleyville,3
Pittsburg,25
Ahwatukee Foothills Village,9
Broadlands,4
Warrensville Hts,14
Beauharnois,5
Warrensvile Heights,14
East Lothian,12
Don Mills,111
S Concord,7
Cooksville,12
Henderson Nevada,12
"Chomedey, Laval",3
Strip District,3
Stuttgart-Vaihingen,40
Roslin,8
Scotesdale,4
Township of Concord,3
Dollard-Des Ormeaux,38
"Las Vegas, NV",9
Straiton,4
Gelndale,10
Woodbridge (Vaughan),4
East Mississauga,14
Whiitby,12
Baldwin,35
mesa,44
Farnham,9
Pointe Claire,17
Bonnyrigg,13
L'assomption,4
Stuttgart - Bad Cannstatt,5
Lake Norman,7
McCandless,49
Indianola,7
Côte-Saint-Luc,6
Brooklyn Hts.,8
Inverkeithing,11
Arlington,7
"Laval, Ste Dorothee",3
Ridgeville,3
Shorewood Hills,39
Mount Albert,40
Richmond Hts,31
Russellton,38
Harmarville,27
Mesa AZ,10
Geauga,16
Shadyside,63
Cuyahoga Fls,11
Dollard-des Ormeaux,8
Fitchburgh,7
Cecil,215
Mississuaga,10
Camargo,3
Haus,10
Regent Square,7
Sainte-Rose,3
Forest Hills,47
Notre-Dame-De-L'ile-Perrot,22
Harrisbug,37
Scarobrough,20
Midddleton,3
Piedmont,12
Communauté-Urbaine-de-Montréal,16
Middleburg Hts.,9
Gillbert,6
Statesville,3
Morgan,6
NORTH YORK,27
Mesa Arizona,6
Dane,21
Kirknewton,8
Montreal-Quest,3
Ste-Rose,18
York Regional Municipality,41
Phoenix metro area,16
Wildwood,27
Sheffield,100
Firth of Forth,20
Aberlady,7
North Braddock,5
Concord Twp,8
Clinton,20
Surprise Crossing,7
N. Ridgeville,8
Pilton,4
Bloomfield,4
Saint-Roch-De-L'achigan,3
St Leonard,9
Alburgh,3
Nellis,3
Lachenaie,8
Gormley,49
Liberty,11
Ross,9
Kettleby,3
West Toronto,6
Gorebridge,13
Châteauguay,24
Saint-Pierre-de-Véronne-à-Pike-River,4
Cuddy,10
Lachute,22
Silver Lake,9
St-Clet,3
East Loth,3
LasVegas,173
Rillton,10
St. Peters,12
Northside,9
Le Haut-Saint-Laurent Regional County Municipality,3
South Hills,7
N. Randall,5
Wood Dale,4
Westworld Scottsdale,6
Tigre,6
Montrose,88
Green Tree,90
St-Leonard,17
Oka,16
Charlemagne,5
Pgh Int Arprt,3
Sainte-Catherine,11
Novelty,12
Hawthorne,6
Harwick,10
"Chester, UK",5
Woodmere Village,256
Springfield,3
Chatauguay,5
Point Claire,4
Montreal-Ouest,59
Mt. Oliver Boro,4
Varennes,3
Library,40
Indian Lands,16
Bonnyrigg and Lasswade,5
110 Las Vegas,63
Phoniex,3
Northfield Center,13
Lavaltrie,3
Weston,9
Herminie,27
Montral,10
Lake Las Vegas,5
Mcmurray,17
Thorncliffe Park,11
Phoenix AZ,4
Central Henderson,32
Auburn Township,22
Cuyahoga Heights,20
Arrowhead,9
Concord Township,3
Massey,4
Water of Leith,7
West Akron,85
Lingen,5
Leinfelden,3
Ben Avon,47
San Tan,5
McAdenville,29
Pitcairn,16
Münster,4
"Laval, Pont Viau",3
Strongville,6
Les Coteaux,3
Summerlin South,13
Wilkins Township,53
Fort  Mill,60
Bernhausen,35
Sturgeon,3
Concord Twp.,3
Downtown Toronto,17
Harmar Township,3
Saint-Bruno,11
Saint Leonard,4
Montreal-West,27
Pincourt,8
Hazelwood,6
Fisher,3
Moneroeville,5
Mt. Horeb,11
Fountain Hls,3
Blawnox,36
Kahnawake,20
Upper Saint Clair,187
New Eagle,26
Cramond,7
Remseck,49
Ingliston,14
Nord,11
Montréal (Québec),6
St. Jean Sur Richelieu,3
Wolfschlugen,3
Plan,3
Auburn,4
Glen Williams,9
North Toronto,25
East Pittsburgh,38
Gilbert AZ,6
Northfield Center Township,13
L'Île-Perrôt,10
Malton,6
Boston,3
Shaker Hts,11
Queensville,3
Lübeck,3
Las Vegas & Henderson,46
Promenade,20
Prévost,7
L'Île-Bizard,12
Richland Township,3
N. OLMSTED,21
Pencaitland,10
Schwaikheim,13
Canonsburd,6
Spa,3
Oßweil,3
L'Ile-Perrot,4
"Scottsdale, AZ",17
Île-des-Soeurs,4
Lower Lawrenceville,271
Elrama,23
Northbrook,3
Troy Township,10
Rural Ridge,13
West Elizabeth,6
Glasgow,13
Chagrin Highlands,4
Grand River,214
"Phoenix, AZ",22
Leslieville,3
Charlote,9
etobicoke,8
N Ridgeville,13
Deux-Montagnes Regional County Municipality,8
"Harrisburg,",7
Canyon Village,3
Scaroborough,44
West Las Vegas,3
Pittsburch,3
Boston Heights,20
Saint-Bernard-De-Lacolle,17
Clark County,64
Stetson Valley,4
Mayfield Hts,3
Longstone,3
East Mc Keesport,22
"Scarborough,",3
N Royalton,3
North Scottsdale,15
Fountainbridge,8
East Credit,4
Mccandless Township,4
Las Vegass,5
Topaz,20
Edimbourg,5
Edgewood,23
St-Eugène,4
Burntisland,6
Sainte-Marthe,4
West Bridgewater,4
Stetten,4
Edgeworth,3
Roxboro,15
Green Valley,14
Edinburgh City of,4
Garfield Hts,3
Scott Township,9
Mayfield Hts.,4
Sainte-Dorothée,4
Phoenix Valley,4
Fithian,4
Glendale Az,84
oakville,3
Tornto,122
Linden,17
Streetsbor,3
Livingstone,4
Sainte-thérèse,3
Prestonpans,10
Fabreville,11
Stuttgart Bad-Canstatt,3
Desert Ridge,7
MC Murray,9
Essex,49
Schottsdale,10
Baie-D'urfe,10
Charlotte NC,3
"Las Vegas,",10
Hemmingford,3
Sunnyslope,12
N W Las Vegas,61
Sainte-Anne-des-Plaines,9
Phoneix,7
"Lakewood, Oh",9
Bellvue,27
Citibank,3
Kernen-Stetten,4
Mount Washington,23
Chertsey,5
Ingomar,6
N E Las Vegas,16
Maple Grove,3
Hendersonville,14
Mount Royal,4
Mooers,5
South Amherst,10
Medina Township,40
Mint  Hill,56
Saint-Sauveur-des-Monts,26
Vaughn,3
Bedford Hts.,7
St-Jerome,24
Wethau,8
McMasterville,3
Chander,5
Palgrave,3
Springbrook,3
St-Bruno-de-Montarville,12
Spring Hill City View,5
NorthYork,4
Lacolle,3
East McKeesport,13
Aberdour,4
South Gyle,6
Hornby,3
Aichwald,6
Henderson and Las vegas,7
Mckeesport,4
Buckeye - Shaker,7
Royal,3
Southside Flats,4
Vaudreuil,3
Estérel,13
Saint-Pie,4
Twinsburgh,3
Fullerton,11
East Ajax,27
Wharton,5
Sainte-Madeleine,4
Sainte-Marguerite-du-Lac-Masson,4
Berry,10
St-Laurent,3
University Ht,15
,5
Monreoville,10
Brunswick Hills,22
Waterford,3
Saint-Bernard-de-Lacolle,14
Ranlo,21
M7,32
Robinson Town,15
Thomasboro,3
Lake Park,6
Pine,14
MATTHEWS,3
Phx,9
Saint-Henri,29
Chandler-Gilbert,9
Middleburg,3
Shandwick,3
Strabane,4
Newburgh Heights,4
Bond Head,3
Meza,32
Sun City Anthem,12
Broxburn,3
Sainte-Geneviève,3
London,4
George Town,5
Regional Municipality of York,16
Villa Grove,6
North Queensferry,30
Median,14
Ingram,6
Tonronto,29
Sainte-Marie,3
St Bernard de Lacolle,4
peoria,3
Mont St-hilaire,3
Centennial Hills,50
Old Scottsdale,4
FORT MILL,3
Stoney Creek,22
Vilas,4
Auburn Twp,7
Paw Creek,3
Saint-Hippolyte,5
National City,5
Saint-sauveur,4
Forest Grove,6
Centre Island,4
Henderston,56
Garfield hts,3
Wilkens Township,3
Mohamet,5
Gates Mills,59
Bois-Des-Filion,3
Saint-Marc-Sur-Richelieu,5
Dewey,3
University Hts ,10
St-Lazare-de-Vaudreuil,6
Claremont,4
Pickering Ajax Whitby,3
C Las Vegas,38
North of Brampton,20
Dalgety Bay,3
Suprise,3
Toronto Division,33
Rainbow Valley,3
Hendserson,11
Mattews,6
Municipality of Murrysville,3
Ste-Therese-de-Blainville,3
Las Vegas Nevada,3
Mc Adenville,3
Yorkdale,3
Saint-Philippe,10
Charlotte (University),21
East Mesa,10
Sindelfingen/Eichholz,6
Henderson (Green Valley),32
Side Slopes,5
Saint-Basile-Le-Grand,3
